Group,Question,Response,value,Region II,Region III,Region IV,Region V,Region VI,Region VII,Region VIII,Total
Demographics,Group of origin (recoded),Indigenous,0.15,0.67,0.09,0.04,0.30,0.42,0.71,0.33,0.36
Demographics,Group of origin (recoded),Other,0.12,0.07,0.09,0.30,0.13,0.10,0.01,0.09,0.10
Demographics,Group of origin (recoded),Ladino,0.73,0.26,0.82,0.66,0.57,0.48,0.27,0.59,0.53
Demographics,Documented,Residence (% yes),0.96,0.96,0.98,0.99,0.98,0.99,0.98,0.98,0.98
Dwelling,Dwelling structure,House,0.88,1.00,0.99,0.97,0.96,0.98,1.00,0.99,0.96
Dwelling,Dwelling structure,Apartment,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Dwelling,Dwelling structure,Room in a larger house,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
Dwelling,Dwelling structure,Ranch or farm,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00
Dwelling,Dwelling structure,Makeshift house,0.01,0.00,0.00,0.00,0.02,0.01,0.00,0.01,0.01
Dwelling,Dwelling structure,"Other, specify",0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00
Dwelling,Dwelling owned,% yes,0.65,0.91,0.88,0.83,0.88,0.89,0.91,0.88,0.84
Dwelling,Wall material,Bricks,0.05,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.02
Dwelling,Wall material,Block,0.83,0.44,0.61,0.49,0.57,0.62,0.49,0.37,0.60
Dwelling,Wall material,Concrete,0.05,0.00,0.02,0.10,0.28,0.01,0.00,0.09,0.06
Dwelling,Wall material,Adobe,0.04,0.11,0.20,0.31,0.03,0.15,0.26,0.04,0.14
Dwelling,Wall material,Wood,0.01,0.44,0.09,0.07,0.06,0.17,0.24,0.47,0.16
Dwelling,Wall material,Metal sheets,0.03,0.01,0.00,0.01,0.05,0.03,0.00,0.02,0.02
Dwelling,Wall material,Cane or sticks,0.00,0.01,0.02,0.00,0.00,0.01,0.00,0.01,0.00
Dwelling,Wall material,Wattle and daub,0.00,0.00,0.07,0.01,0.00,0.00,0.00,0.00,0.01
Dwelling,Wall material,"Other, specify",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dwelling,Services,Water system,0.97,0.75,0.89,0.86,0.81,0.83,0.84,0.75,0.85
Dwelling,Services,A drainage system,0.90,0.21,0.42,0.47,0.57,0.49,0.50,0.23,0.54
Dwelling,Services,An electical energy system,0.99,0.76,0.89,0.90,0.96,0.94,0.80,0.70,0.90
Dwelling,Services,A telephone line,0.37,0.07,0.11,0.09,0.12,0.09,0.10,0.08,0.15
Dwelling,Services,Internet,0.37,0.06,0.11,0.07,0.09,0.08,0.09,0.05,0.14
Livelihood and Wealth,Activity (last month),Public sector office work,0.02,0.02,0.06,0.02,0.03,0.04,0.03,0.02,0.03
Livelihood and Wealth,Activity (last month),Private sector Office Work,0.09,0.04,0.04,0.04,0.06,0.03,0.03,0.03,0.05
Livelihood and Wealth,Activity (last month),Studying (Student),0.05,0.05,0.02,0.03,0.04,0.04,0.03,0.02,0.04
Livelihood and Wealth,Activity (last month),Housework,0.27,0.33,0.34,0.35,0.31,0.34,0.31,0.35,0.32
Livelihood and Wealth,Activity (last month),Free time,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.01
Livelihood and Wealth,Activity (last month),Unemployed,0.06,0.01,0.02,0.03,0.06,0.04,0.02,0.02,0.04
Livelihood and Wealth,Activity (last month),"Informal work or little jobs ""trabajitos""",0.13,0.08,0.06,0.08,0.05,0.09,0.08,0.07,0.09
Livelihood and Wealth,Activity (last month),peddling,0.03,0.01,0.01,0.01,0.04,0.01,0.01,0.02,0.02
Livelihood and Wealth,Activity (last month),trade,0.19,0.15,0.12,0.12,0.13,0.14,0.15,0.12,0.15
Livelihood and Wealth,Activity (last month),Agricultural Work,0.05,0.19,0.25,0.23,0.19,0.19,0.28,0.25,0.18
Livelihood and Wealth,Activity (last month),Ill,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00
Livelihood and Wealth,Activity (last month),Healthcare worker,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00
Livelihood and Wealth,Activity (last month),Retired,0.02,0.01,0.03,0.02,0.02,0.01,0.01,0.02,0.02
Livelihood and Wealth,Activity (last month),Contruction,0.02,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.02
Livelihood and Wealth,Activity (last month),Teacher,0.01,0.02,0.00,0.01,0.00,0.01,0.02,0.00,0.01
Livelihood and Wealth,Activity (last month),Security sector,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.00
Livelihood and Wealth,Activity (last month),Domestic worker,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Livelihood and Wealth,Activity (last month),Driver,0.01,0.03,0.00,0.00,0.01,0.00,0.00,0.01,0.01
Livelihood and Wealth,Activity (last month),Business owner,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01
Livelihood and Wealth,Activity (last month),"Religious actitivites (pastor,...)",0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00
Livelihood and Wealth,Activity (last month),"Other, specify",0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
Livelihood and Wealth,Main household activity,Earnings from crop harvest,0.10,0.14,0.13,0.13,0.20,0.15,0.25,0.22,0.16
Livelihood and Wealth,Main household activity,Single earner salary,0.35,0.21,0.31,0.38,0.32,0.29,0.24,0.32,0.30
Livelihood and Wealth,Main household activity,Two salaries or more,0.18,0.20,0.13,0.18,0.15,0.16,0.18,0.11,0.17
Livelihood and Wealth,Main household activity,Income from daily wages,0.11,0.12,0.17,0.10,0.10,0.11,0.08,0.10,0.11
Livelihood and Wealth,Main household activity,Informal Work or little jobs,0.07,0.13,0.09,0.05,0.07,0.10,0.07,0.06,0.08
Livelihood and Wealth,Main household activity,Remittances,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01
Livelihood and Wealth,Main household activity,Own Business,0.14,0.17,0.12,0.12,0.13,0.16,0.17,0.15,0.15
Livelihood and Wealth,Main household activity,Retired,0.02,0.01,0.02,0.01,0.00,0.01,0.00,0.02,0.01
Livelihood and Wealth,Main household activity,Supported by children,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.01,0.00
Livelihood and Wealth,Main household activity,Donations / government support,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01
Livelihood and Wealth,Main household activity,"Other, specify",0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Livelihood and Wealth,Asset wealth,poorest (%),0.30,0.33,0.29,0.30,0.30,0.27,0.34,0.31,0.30
Livelihood and Wealth,Asset wealth,middle (%),0.30,0.37,0.34,0.34,0.35,0.33,0.30,0.28,0.33
Livelihood and Wealth,Asset wealth,richest (%),0.40,0.30,0.37,0.35,0.35,0.40,0.36,0.41,0.37
Livelihood and Wealth,Change in income over past year,More,0.11,0.09,0.11,0.09,0.11,0.11,0.09,0.11,0.10
Livelihood and Wealth,Change in income over past year,Same,0.69,0.64,0.58,0.68,0.59,0.60,0.56,0.54,0.62
Livelihood and Wealth,Change in income over past year,Less,0.20,0.28,0.31,0.23,0.29,0.30,0.35,0.35,0.28
Livelihood and Wealth,Change in income over next year,More,0.34,0.23,0.28,0.21,0.29,0.33,0.23,0.25,0.29
Livelihood and Wealth,Change in income over next year,Same,0.56,0.67,0.60,0.68,0.57,0.53,0.67,0.54,0.59
Livelihood and Wealth,Change in income over next year,Less,0.10,0.10,0.13,0.11,0.14,0.14,0.11,0.21,0.12
Information,Main source of information,None,0.03,0.04,0.01,0.04,0.04,0.03,0.03,0.01,0.03
Information,Main source of information,"Friends, neighbor",0.07,0.11,0.08,0.05,0.06,0.08,0.06,0.12,0.08
Information,Main source of information,Radio,0.24,0.25,0.27,0.22,0.26,0.25,0.34,0.22,0.26
Information,Main source of information,Television,0.53,0.47,0.55,0.58,0.55,0.55,0.47,0.54,0.53
Information,Main source of information,Internet / social media,0.06,0.05,0.03,0.05,0.04,0.03,0.04,0.04,0.04
Information,Main source of information,Newspapers,0.07,0.06,0.04,0.06,0.05,0.06,0.06,0.08,0.06
Information,Main source of information,Municipality / local leaders,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Information,Main source of information,The Sunday mass,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Information,Main source of information,Cellphone,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Information,Main source of information,"Other, specify",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Information,Main source of information,no response,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Information,Other sources of information,None,0.14,0.19,0.08,0.17,0.17,0.15,0.15,0.16,0.15
Information,Other sources of information,"Friends, neighbor",0.19,0.29,0.27,0.12,0.23,0.24,0.18,0.20,0.22
Information,Other sources of information,Radio,0.35,0.34,0.55,0.41,0.36,0.33,0.34,0.24,0.36
Information,Other sources of information,Television,0.28,0.29,0.47,0.38,0.29,0.24,0.25,0.25,0.29
Information,Other sources of information,Internet / social media,0.13,0.08,0.13,0.09,0.11,0.11,0.08,0.10,0.11
Information,Other sources of information,Newspapers,0.29,0.28,0.35,0.28,0.26,0.31,0.24,0.24,0.29
Information,Other sources of information,Municipality / local leaders,0.01,0.00,0.01,0.02,0.00,0.01,0.00,0.00,0.01
Information,Other sources of information,The Sunday mass,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.02,0.01
Information,Other sources of information,Cellphone,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00
Information,Other sources of information,Text message,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
Information,Other sources of information,"Other, specify",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Information,Other sources of information,no response,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.01
Information,Level of information (% llittle - none),News / events in your community,0.32,0.35,0.37,0.29,0.27,0.34,0.26,0.54,0.32
Information,Level of information (% llittle - none),News / events in the department,0.33,0.47,0.37,0.38,0.42,0.42,0.40,0.56,0.40
Information,Level of information (% llittle - none),News / events in the country,0.29,0.37,0.30,0.29,0.31,0.31,0.24,0.37,0.30
Information,Level of information (% llittle - none),The security situation,0.39,0.39,0.43,0.38,0.37,0.40,0.29,0.46,0.38
Information,Level of information (% llittle - none),Development projects that may affect your community?,0.58,0.45,0.55,0.55,0.44,0.50,0.51,0.63,0.52
Information,Level of information (% llittle - none),Local politics,0.53,0.59,0.59,0.50,0.40,0.51,0.47,0.60,0.51
Information,Level of information (% llittle - none),National politics,0.50,0.63,0.62,0.57,0.42,0.52,0.47,0.49,0.52
Information,Freedom of information (% little - not free),Talk openly about politics,0.48,0.58,0.54,0.51,0.41,0.54,0.42,0.63,0.50
Information,Freedom of information (% little - not free),Talk openly about what happened during the war,0.56,0.69,0.62,0.57,0.57,0.60,0.51,0.63,0.58
Information,Freedom of information (% little - not free),Talk openly about corruption,0.31,0.39,0.35,0.37,0.27,0.40,0.28,0.40,0.34
Information,Freedom of information (% little - not free),"Organize protest march, demonstration",0.61,0.71,0.67,0.64,0.52,0.64,0.54,0.78,0.62
Social Cohesion,Relationships (% good - very good),Relationships with your family?,0.89,0.92,0.89,0.88,0.90,0.88,0.90,0.86,0.89
Social Cohesion,Relationships (% good - very good),Relationships with neighbors?,0.87,0.78,0.82,0.84,0.85,0.81,0.84,0.77,0.83
Social Cohesion,Relationships (% good - very good),Relationships with the people in the community in general,0.82,0.72,0.77,0.79,0.81,0.73,0.80,0.71,0.77
Social Cohesion,Engagement in selected activities,Community meeting,0.52,0.56,0.52,0.52,0.58,0.50,0.50,0.48,0.52
Social Cohesion,Engagement in selected activities,"Cultural, recreational and sporting events",0.49,0.37,0.43,0.47,0.50,0.45,0.48,0.38,0.46
Social Cohesion,Engagement in selected activities,Marches and demonstrations,0.13,0.13,0.12,0.14,0.13,0.13,0.15,0.12,0.13
Social Cohesion,Engagement in selected activities,Community events to improve security in the streets and parks,0.36,0.25,0.31,0.32,0.37,0.23,0.31,0.22,0.30
Social Cohesion,Engagement in selected activities,Events of political groups or parties,0.21,0.16,0.18,0.24,0.28,0.24,0.27,0.18,0.23
Social Cohesion,Engagement in selected activities,Events to improve or build communal public works and maintain public spaces,0.33,0.22,0.30,0.30,0.37,0.27,0.31,0.31,0.30
Social Cohesion,Engagement in selected activities,Voluntary collective work groups,0.50,0.40,0.49,0.48,0.52,0.40,0.48,0.49,0.46
Social Cohesion,Engagement in selected activities,Church activity,0.79,0.79,0.76,0.79,0.81,0.76,0.77,0.76,0.78
Social Cohesion,Engagement in selected activities,Neighborhood Patrol and Surveillance,0.12,0.08,0.14,0.12,0.20,0.07,0.10,0.11,0.11
Social Cohesion,Association membership,None,0.75,0.72,0.85,0.82,0.74,0.77,0.71,0.71,0.76
Social Cohesion,Association membership,Religious Organization,0.14,0.21,0.05,0.06,0.12,0.14,0.13,0.15,0.13
Social Cohesion,Association membership,Veterans,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
Social Cohesion,Association membership,"Sporting, social, or recreational club",0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01
Social Cohesion,Association membership,"Artistic, musical, or cultural organization",0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.01
Social Cohesion,Association membership,Political group/party,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.01
Social Cohesion,Association membership,Cooperation (agriculture/work),0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02
Social Cohesion,Association membership,Organization security or surveillance,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
Social Cohesion,Association membership,Health organization,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.01
Social Cohesion,Association membership,Women's group,0.01,0.02,0.01,0.04,0.03,0.02,0.02,0.02,0.02
Social Cohesion,Association membership,NGOs,0.00,0.01,0.00,0.01,0.01,0.00,0.01,0.00,0.01
Social Cohesion,Association membership,COCODES,0.03,0.04,0.03,0.04,0.06,0.04,0.04,0.07,0.04
Social Cohesion,Association membership,"Community Improvement Committee (Water, Sanitation, Education, Electricity)",0.00,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01
Social Cohesion,Association membership,"Other, specify",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Social Cohesion,Number of meetings in the last month,0,0.77,0.72,0.86,0.83,0.75,0.78,0.75,0.71,0.77
Social Cohesion,Number of meetings in the last month,1,0.07,0.02,0.04,0.04,0.05,0.04,0.07,0.04,0.05
Social Cohesion,Number of meetings in the last month,2,0.04,0.03,0.01,0.04,0.06,0.04,0.07,0.10,0.05
Social Cohesion,Number of meetings in the last month,3+,0.12,0.23,0.09,0.10,0.14,0.14,0.11,0.16,0.13
Social Cohesion,Support frequency (% rarely - never),Friends or neighbors turn to you for advice,0.49,0.65,0.52,0.56,0.57,0.58,0.53,0.56,0.55
Social Cohesion,Support frequency (% rarely - never),Receive help from your friends or neighbors,0.53,0.56,0.51,0.52,0.51,0.57,0.52,0.69,0.54
Social Cohesion,Support frequency (% rarely - never),Help your friends or neighbors,0.32,0.48,0.44,0.41,0.27,0.39,0.32,0.44,0.37
Social Cohesion,Support frequency (% rarely - never),People work together on projects in this community?,0.25,0.32,0.28,0.27,0.25,0.30,0.26,0.46,0.28
Social Cohesion,Means to improve relations in community,More communication,0.60,0.70,0.68,0.66,0.56,0.57,0.58,0.50,0.60
Social Cohesion,Means to improve relations in community,Tolerance,0.27,0.24,0.27,0.23,0.27,0.29,0.32,0.25,0.27
Social Cohesion,Means to improve relations in community,Listen to opinions,0.26,0.31,0.39,0.40,0.25,0.28,0.29,0.25,0.29
Social Cohesion,Means to improve relations in community,Organize events,0.16,0.14,0.21,0.18,0.19,0.17,0.13,0.11,0.16
Social Cohesion,Means to improve relations in community,Promote work / help the economy,0.08,0.11,0.10,0.19,0.15,0.08,0.07,0.13,0.10
Social Cohesion,Means to improve relations in community,Help the poor,0.07,0.03,0.07,0.10,0.05,0.03,0.03,0.05,0.05
Social Cohesion,Means to improve relations in community,Unity,0.09,0.08,0.06,0.07,0.08,0.10,0.07,0.16,0.09
Social Cohesion,Means to improve relations in community,Training/Education/Make aware,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01
Social Cohesion,Means to improve relations in community,Good leaders,0.02,0.04,0.02,0.03,0.04,0.04,0.05,0.02,0.03
Social Cohesion,Means to improve relations in community,Friendship/Harmony/Companionship,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01
Social Cohesion,Means to improve relations in community,Organization/Teamwork/Collaboration,0.05,0.04,0.03,0.02,0.04,0.03,0.04,0.04,0.04
Social Cohesion,Means to improve relations in community,Support from authorities (Economic support/Donations),0.01,0.01,0.00,0.01,0.02,0.03,0.03,0.00,0.02
Social Cohesion,Means to improve relations in community,Trust/Honesty/Transparency,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.00,0.01
Social Cohesion,Means to improve relations in community,Love,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Social Cohesion,Means to improve relations in community,Willpower/Desire to imrpove,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02
Social Cohesion,Means to improve relations in community,"Other, specify",0.02,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.02
Social Cohesion,Means to improve relations in community,No response,0.03,0.05,0.03,0.04,0.05,0.04,0.09,0.04,0.05
Social Cohesion,Who is responsible for improving relations in community,Myself,0.30,0.29,0.43,0.32,0.26,0.23,0.36,0.27,0.30
Social Cohesion,Who is responsible for improving relations in community,The church,0.11,0.03,0.07,0.06,0.07,0.05,0.03,0.07,0.06
Social Cohesion,Who is responsible for improving relations in community,La Escuela (los profesores),0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.02,0.01
Social Cohesion,Who is responsible for improving relations in community,Individual leaders,0.28,0.27,0.19,0.14,0.20,0.22,0.22,0.12,0.22
Social Cohesion,Who is responsible for improving relations in community,Community elected organization,0.38,0.32,0.43,0.34,0.48,0.34,0.37,0.29,0.37
Social Cohesion,Who is responsible for improving relations in community,NGOs,0.02,0.00,0.01,0.01,0.03,0.01,0.02,0.01,0.02
Social Cohesion,Who is responsible for improving relations in community,City / Municipality Government,0.28,0.29,0.29,0.34,0.31,0.30,0.29,0.27,0.30
Social Cohesion,Who is responsible for improving relations in community,Departmental government,0.06,0.05,0.05,0.03,0.02,0.03,0.02,0.04,0.04
Social Cohesion,Who is responsible for improving relations in community,National government,0.05,0.05,0.07,0.06,0.05,0.05,0.04,0.07,0.05
Social Cohesion,Who is responsible for improving relations in community,Cocodes,0.15,0.17,0.13,0.22,0.09,0.22,0.25,0.15,0.18
Social Cohesion,Who is responsible for improving relations in community,Asssistant Mayor,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00
Social Cohesion,Who is responsible for improving relations in community,Everone/entire community,0.05,0.06,0.03,0.04,0.03,0.05,0.03,0.06,0.04
Social Cohesion,Who is responsible for improving relations in community,Women/Women's groups,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00
Social Cohesion,Who is responsible for improving relations in community,Indigenous authority/indigenous leaders,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Social Cohesion,Who is responsible for improving relations in community,Civil Society organizations,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Social Cohesion,Who is responsible for improving relations in community,Youth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Social Cohesion,Who is responsible for improving relations in community,Nobody,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Social Cohesion,Who is responsible for improving relations in community,"Other, specify",0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.00
Social Cohesion,Who is responsible for improving relations in community,No response,0.02,0.05,0.05,0.04,0.05,0.04,0.07,0.05,0.04
Social Cohesion,Social media,Use (% yes),0.29,0.19,0.26,0.22,0.30,0.25,0.22,0.27,0.25
Social Cohesion,Social media,Role in organziing groups in your community (% a lot - extreme),0.21,0.12,0.19,0.19,0.20,0.15,0.19,0.11,0.17
Equality,Experience of unfair treatment,Any experience,0.19,0.22,0.20,0.23,0.23,0.20,0.24,0.15,0.21
Equality,Experience of unfair treatment,Social status,0.06,0.07,0.07,0.06,0.07,0.04,0.04,0.02,0.05
Equality,Experience of unfair treatment,Political affiliation,0.02,0.03,0.01,0.02,0.02,0.03,0.03,0.01,0.02
Equality,Experience of unfair treatment,Religion,0.02,0.02,0.03,0.01,0.02,0.01,0.02,0.04,0.02
Equality,Experience of unfair treatment,Language,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00
Equality,Experience of unfair treatment,Sexual orientation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Equality,Experience of unfair treatment,Race/ethical group,0.03,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.02
Equality,Experience of unfair treatment,Disability,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00
Equality,Experience of unfair treatment,Age,0.02,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.01
Equality,Experience of unfair treatment,For being divorced,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.01
Equality,Experience of unfair treatment,Because of my job,0.03,0.03,0.05,0.04,0.03,0.02,0.03,0.02,0.03
Equality,Experience of unfair treatment,Gender inequalities,0.00,0.05,0.01,0.03,0.02,0.02,0.02,0.02,0.02
Equality,Experience of unfair treatment,I don't know,0.00,0.00,0.01,0.03,0.01,0.01,0.01,0.00,0.01
Equality,Experience of unfair treatment,Envy,0.03,0.02,0.01,0.01,0.02,0.01,0.04,0.02,0.02
Equality,Experience of unfair treatment,Gossip,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01
Equality,Experience of unfair treatment,Water/land/natural resource issues,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.00
Equality,Experience of unfair treatment,Alcohol,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Equality,Experience of unfair treatment,Being from a different place,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.01
Equality,Experience of unfair treatment,Single mother,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
Equality,Experience of unfair treatment,"For giving advice, opinions, disagreements",0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02
Equality,Experience of unfair treatment,Issues with children/family,0.01,0.00,0.00,0.01,0.00,0.01,0.02,0.01,0.01
Equality,Experience of unfair treatment,Had been/is in a position of auhority (member of COCODE or committee),0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01
