Group,Question,Response,Karamoja,Acholi,West Nile,South West,National,TOTAL,Unit,
Conflicts in School,Most common types of disputes in school,Incentives fund,9%,14%,16%,6%,12%,12%,%,
Conflicts in School,Most common types of disputes in school,Accomodation,41%,21%,22%,12%,27%,27%,%,
Conflicts in School,Most common types of disputes in school,Teachers absenteeism,34%,32%,40%,23%,34%,34%,%,
Conflicts in School,Most common types of disputes in school,School Land Disputes,48%,30%,21%,4%,13%,13%,%,
Conflicts in School,Most common types of disputes in school,Quality of education,24%,22%,24%,12%,26%,26%,%,
Conflicts in School,Most common types of disputes in school,Teacher-on-pupil violence,34%,21%,15%,22%,19%,19%,%,
Conflicts in School,Most common types of disputes in school,Challenges to education authorities' policies and programs,23%,4%,11%,3%,11%,11%,%,
Conflicts in School,Most common types of disputes in school,Language of instruction,10%,9%,10%,3%,8%,8%,%,
Conflicts in School,Most common types of disputes in school,Schools' requests for parental financial contribution,32%,12%,10%,7%,16%,16%,%,
Conflicts in School,Most common types of disputes in school,Conflict between school administration and the foundation body of the school,34%,8%,7%,3%,6%,6%,%,
Conflicts in School,Most common types of disputes in school,Other,13%,8%,9%,14%,11%,11%,%,
Conflicts in School,Most common types of disputes in school,Refuse / no response,0%,19%,14%,5%,5%,5%,%,
Conflicts in School,Type of conflicts most likely to become violent,Poor leadership styles,32%,38%,37%,37%,29%,29%,%,
Conflicts in School,Type of conflicts most likely to become violent,Teachers salaries,44%,36%,42%,42%,39%,39%,%,
Conflicts in School,Type of conflicts most likely to become violent,Poor feeding,71%,42%,49%,65%,50%,50%,%,
Conflicts in School,Type of conflicts most likely to become violent,Incentives fund,9%,10%,12%,4%,8%,8%,%,
Conflicts in School,Type of conflicts most likely to become violent,Accomodation,33%,18%,17%,15%,22%,22%,%,
Conflicts in School,Type of conflicts most likely to become violent,Teachers absenteeism,24%,31%,34%,15%,27%,27%,%,
Conflicts in School,Type of conflicts most likely to become violent,School Land Disputes,40%,29%,18%,4%,10%,10%,%,
Conflicts in School,Type of conflicts most likely to become violent,Quality of education,9%,19%,21%,3%,21%,21%,%,
Conflicts in School,Type of conflicts most likely to become violent,Teacher absenteeism,13%,20%,27%,4%,23%,23%,%,
Conflicts in School,Type of conflicts most likely to become violent,Teacher-on-pupil violence,20%,19%,13%,16%,15%,15%,%,
Conflicts in School,Type of conflicts most likely to become violent,Challenges to education authorities' policies and programs,14%,2%,10%,3%,11%,11%,%,
Conflicts in School,Type of conflicts most likely to become violent,Mother tongue instruction,6%,7%,10%,0%,6%,6%,%,
Conflicts in School,Type of conflicts most likely to become violent,Schools' requests for parental financial contribution,28%,13%,7%,3%,13%,13%,%,
Conflicts in School,Type of conflicts most likely to become violent,Conflict between school administration and the foundation body of the school,30%,8%,8%,2%,5%,5%,%,
Conflicts in School,Type of conflicts most likely to become violent,Other,3%,5%,14%,8%,8%,8%,%,
Conflicts in School,Type of conflicts most likely to become violent,Refuse / no response,0%,22%,15%,8%,7%,7%,%,
Conflicts in School,Who was involved in the above mentioned conflicts?,Teachers,91%,66%,54%,81%,64%,64%,%,
Conflicts in School,Who was involved in the above mentioned conflicts?,Students,87%,56%,57%,78%,62%,62%,%,
Conflicts in School,Who was involved in the above mentioned conflicts?,Parents,71%,53%,36%,22%,36%,36%,%,
Conflicts in School,Who was involved in the above mentioned conflicts?,Other,10%,10%,12%,0%,6%,6%,%,
Conflicts in School,Who was involved in the above mentioned conflicts?,Refuse / no response,3%,19%,17%,4%,8%,8%,%,
Conflicts in School,How often conflicts or disputes take place in schools?,Very often,6%,2%,1%,8%,4%,4%,%,
Conflicts in School,How often conflicts or disputes take place in schools?,Often,21%,2%,4%,10%,8%,8%,%,
Conflicts in School,How often conflicts or disputes take place in schools?,Sometimes,42%,19%,10%,24%,25%,25%,%,
Conflicts in School,How often conflicts or disputes take place in schools?,Rarely,29%,60%,54%,47%,46%,46%,%,
Conflicts in School,How often conflicts or disputes take place in schools?,Never,2%,13%,25%,10%,16%,16%,%,
Conflicts in School,How often conflicts or disputes take place in schools?,Refuse / no response,1%,3%,5%,1%,2%,2%,%,
Conflicts in School,Who resolve conflicts or disputes between students?,Students themselves,1%,1%,4%,3%,3%,3%,%,
Conflicts in School,Who resolve conflicts or disputes between students?,Students' families,6%,5%,2%,11%,5%,5%,%,
Conflicts in School,Who resolve conflicts or disputes between students?,Teachers,80%,77%,77%,71%,76%,76%,%,
Conflicts in School,Who resolve conflicts or disputes between students?,Prefects,11%,9%,6%,5%,9%,9%,%,
Conflicts in School,Who resolve conflicts or disputes between students?,Other (please specify),1%,4%,4%,9%,4%,4%,%,
Conflicts in School,Who resolve conflicts or disputes between students?,Refuse / no response,1%,3%,7%,3%,4%,4%,%,
Conflicts in School,Who resolve conflicts/disputes between students and teachers?,School management committee,15%,11%,33%,20%,14%,14%,%,
Conflicts in School,Who resolve conflicts/disputes between students and teachers?,Headteacher,56%,64%,47%,55%,64%,64%,%,
Conflicts in School,Who resolve conflicts/disputes between students and teachers?,School council,17%,5%,4%,7%,8%,8%,%,
Conflicts in School,Who resolve conflicts/disputes between students and teachers?,PTA,9%,14%,7%,16%,10%,10%,%,
Conflicts in School,Who resolve conflicts/disputes between students and teachers?,Other,2%,4%,0%,3%,2%,2%,%,
Conflicts in School,Who resolve conflicts/disputes between students and teachers?,Refuse / no response,1%,2%,9%,1%,2%,2%,%,
Conflicts in School,What about conflicts between teachers and parents on the one hand or teachers and community members on the other hand?,PTA,51%,38%,51%,25%,51%,51%,%,
Conflicts in School,What about conflicts between teachers and parents on the one hand or teachers and community members on the other hand?,School management committee,35%,45%,34%,48%,33%,33%,%,
Conflicts in School,What about conflicts between teachers and parents on the one hand or teachers and community members on the other hand?,District education office,13%,7%,6%,25%,12%,12%,%,
Conflicts in School,What about conflicts between teachers and parents on the one hand or teachers and community members on the other hand?,Other,1%,6%,1%,1%,1%,1%,%,
Conflicts in School,What about conflicts between teachers and parents on the one hand or teachers and community members on the other hand?,Refuse / no response,0%,5%,8%,2%,3%,3%,%,
Conflicts in School,Completed Primary School or Currently Enrolled in School,% Completed or Enrolled,24%,46%,49%,43%,52%,52%,%,
Direct Exposure to Conflicts in School,"Experienced exclusion, marginalization, or discrimination in school?",Yes,7%,10%,5%,8%,9%,9%,%,
Direct Exposure to Conflicts in School,"Contacted the following to resolve the exclusion, marginalization, or discrimination problem",Nobody,0%,20%,8%,6%,16%,16%,%,
Direct Exposure to Conflicts in School,"Contacted the following to resolve the exclusion, marginalization, or discrimination problem",Teacher,33%,45%,42%,50%,61%,61%,%,
Direct Exposure to Conflicts in School,"Contacted the following to resolve the exclusion, marginalization, or discrimination problem",Parents,67%,5%,42%,31%,54%,54%,%,
Direct Exposure to Conflicts in School,"Contacted the following to resolve the exclusion, marginalization, or discrimination problem",Other students,33%,30%,25%,6%,11%,11%,%,
Direct Exposure to Conflicts in School,"Contacted the following to resolve the exclusion, marginalization, or discrimination problem",Local leaders,33%,5%,17%,13%,17%,17%,%,
Direct Exposure to Conflicts in School,"Contacted the following to resolve the exclusion, marginalization, or discrimination problem",Religious leaders,0%,0%,25%,0%,3%,3%,%,
Direct Exposure to Conflicts in School,"Contacted the following to resolve the exclusion, marginalization, or discrimination problem",Other,17%,20%,8%,6%,3%,3%,%,
Direct Exposure to Conflicts in School,"Contacted the following to resolve the exclusion, marginalization, or discrimination problem",Refuse / no response,0%,0%,0%,6%,0%,0%,%,
Direct Exposure to Conflicts in School,Satisfied with the outcome,Yes,67%,88%,73%,67%,61%,61%,%,
Direct Exposure to Conflicts in School,"Being called names, insulted, or humiliated",Yes,14%,32%,21%,18%,23%,23%,%,
Direct Exposure to Conflicts in School,"Being the subject of gossips, rumours",Yes,13%,28%,15%,7%,17%,17%,%,
Direct Exposure to Conflicts in School,Being threatened with violence,Yes,14%,21%,14%,6%,11%,11%,%,
Direct Exposure to Conflicts in School,"Being physically abused by a teacher at school in a way that resulted in pain, discomfort, or injury",Yes,10%,22%,9%,12%,14%,14%,%,
Challenges in School,Students who are undisciplined and disruptive,Major,51%,35%,64%,56%,45%,45%,%,
Challenges in School,Students who are undisciplined and disruptive,Minor,15%,40%,17%,18%,28%,28%,%,
Challenges in School,Students who are undisciplined and disruptive,Not a problem,29%,24%,18%,24%,24%,24%,%,
Challenges in School,Students who are undisciplined and disruptive,Refuse / no response,5%,2%,2%,2%,2%,2%,%,
Challenges in School,Overcrowded classrooms,Major,55%,54%,72%,38%,53%,53%,%,
Challenges in School,Overcrowded classrooms,Minor,16%,25%,14%,31%,26%,26%,%,
Challenges in School,Overcrowded classrooms,Not a problem,23%,20%,13%,28%,19%,19%,%,
Challenges in School,Overcrowded classrooms,Refuse / no response,6%,2%,1%,3%,2%,2%,%,
Challenges in School,Facilities that are unsafe or unhealthy,Major,48%,18%,34%,38%,30%,30%,%,
Challenges in School,Facilities that are unsafe or unhealthy,Minor,27%,47%,24%,28%,30%,30%,%,
Challenges in School,Facilities that are unsafe or unhealthy,Not a problem,19%,34%,39%,32%,38%,38%,%,
Challenges in School,Facilities that are unsafe or unhealthy,Refuse / no response,7%,2%,2%,2%,2%,2%,%,
Challenges in School,Lack of equipment,Major,64%,39%,32%,45%,53%,53%,%,
Challenges in School,Lack of equipment,Minor,17%,41%,36%,33%,29%,29%,%,
Challenges in School,Lack of equipment,Not a problem,15%,17%,31%,20%,17%,17%,%,
Challenges in School,Lack of equipment,Refuse / no response,4%,2%,1%,1%,2%,2%,%,
Challenges in School,Violence and lack of school safety,Major,42%,6%,29%,30%,29%,29%,%,
Challenges in School,Violence and lack of school safety,Minor,15%,54%,29%,25%,30%,30%,%,
Challenges in School,Violence and lack of school safety,Not a problem,40%,39%,41%,44%,39%,39%,%,
Challenges in School,Violence and lack of school safety,Refuse / no response,3%,2%,2%,1%,2%,2%,%,
Challenges in School,Sexual violence,Major,33%,7%,19%,28%,24%,24%,%,
Challenges in School,Sexual violence,Minor,13%,30%,33%,19%,22%,22%,%,
Challenges in School,Sexual violence,Not a problem,50%,60%,46%,52%,49%,49%,%,
Challenges in School,Sexual violence,Refuse / no response,4%,2%,1%,1%,5%,5%,%,
Challenges in School,Lack of parental involvement,Major,41%,16%,35%,38%,30%,30%,%,
Challenges in School,Lack of parental involvement,Minor,25%,58%,27%,35%,38%,38%,%,
Challenges in School,Lack of parental involvement,Not a problem,31%,24%,38%,26%,29%,29%,%,
Challenges in School,Lack of parental involvement,Refuse / no response,4%,2%,1%,1%,3%,3%,%,
Challenges in School,Poor quality of teachers,Major,50%,24%,36%,45%,46%,46%,%,
Challenges in School,Poor quality of teachers,Minor,16%,49%,30%,29%,29%,29%,%,
Challenges in School,Poor quality of teachers,Not a problem,24%,25%,32%,25%,23%,23%,%,
Challenges in School,Poor quality of teachers,Refuse / no response,10%,2%,2%,1%,2%,2%,%,
