Group,Question,Response,Value1,Value2,Value3,Value4,Value5,Value6,Units
Group_5,Question_2,Response_1,0.8,0.82,0.07,0.01,0.98,0.1,Percent
Group_5,Question_2,Response_2,0.81,0.62,1,0.44,0.52,0.62,Percent
Group_5,Question_2,Response_3,0.27,0.4,0.68,0.72,0.74,0.04,Percent
Group_5,Question_2,Response_4,0.72,0.1,0.29,0.21,0.14,0.39,Percent
Group_5,Question_3,Response_1,0.89,0.25,0.37,0.44,0.26,0.81,Percent
Group_5,Question_3,Response_2,0.04,0.67,0.84,0.66,0.41,0.37,Percent
Group_5,Question_3,Response_3,0.19,0.8,0.84,0.2,0.55,0.08,Percent
Group_5,Question_3,Response_4,0.58,1,0.5,0.89,0.07,0.46,Percent
Group_2,Question_1,Response_1,0.44,0.48,0.34,0.59,0.39,0.8,Percent
Group_2,Question_1,Response_2,0.6,0.12,0.64,0.97,0.66,0.01,Percent
Group_2,Question_1,Response_3,0.24,0.68,0.15,0.87,0.22,0.52,Percent
Group_2,Question_1,Response_4,0.57,0.87,0.72,0.21,0.64,0.25,Percent
Group_2,Question_2,Response_1,0.64,0.09,0.78,0.17,0.49,0,Percent
Group_2,Question_2,Response_2,0.12,0.65,0.62,0.27,0.38,0.03,Percent
Group_2,Question_2,Response_3,0.94,0.92,0.46,0.33,1,0.08,Percent
Group_2,Question_2,Response_4,0.62,0.68,0.03,0.89,0.98,0.56,Percent
Group_2,Question_3,Response_1,0.67,0.52,0.25,0.61,0.37,0.09,Percent
Group_2,Question_3,Response_2,0.91,0.64,0.04,0.43,0.8,0.86,Percent
Group_2,Question_3,Response_3,0.6,0.91,0.04,0.16,0.17,0.31,Percent
Group_2,Question_3,Response_4,0.1,0.13,0.7,0.65,0.58,0.63,Percent
Group_2,Question_3,Response_5,0.78,0.39,0.74,0.16,0.44,0.31,Percent
Group_2,Question_3,Response_6,0.6,0.73,0.24,0.59,0.77,0.31,Percent
Group_2,Question_3,Response_7,0.85,0.04,0.69,0.22,0.62,0.19,Percent
Group_2,Question_3,Response_8,0.83,0.04,0.96,0.54,0.06,0.25,Percent
Group_2,Question_3,Response_9,0.39,0.02,0.91,0,0.28,0.11,Percent
Group_2,Question_3,Response_10,0.78,0.23,0.65,0.33,0.5,0.23,Percent
Group_2,Question_4,Response_1,0.86,0.03,0.38,0.48,0.14,0.78,Percent
Group_2,Question_4,Response_2,0.74,0.15,0.96,0.98,0.47,0.46,Percent
Group_2,Question_4,Response_3,0.77,0.08,0.64,0.52,0.25,0.37,Percent
